"datetime","date","account_type","category","type","asset_class","name","symbol","shares","price","amount","fee","tax","currency","original_amount","original_currency","fx_rate","description","transaction_id","counterparty_name","counterparty_iban","payment_reference","mcc_code"
"2025-12-24T12:49:59.495927Z","2025-12-24","DEFAULT","CASH","DIVIDEND","STOCK","NVIDIA","US67066G1040","1.2084000000","","0.010000","","","EUR","0.01","USD","0.848464","Cash Dividend for ISIN US67066G1040","019b5068-bac7-7952-a5cc-5ad8f7ab445d","","","",""
"2026-01-02T09:51:50.628Z","2026-01-02","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","48.0000000000","6.1480000000","-295.10","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 48","75eb1578-d632-406c-bb4d-49f10ba2d479","","","",""
"2026-01-02T10:21:58.783Z","2026-01-02","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","1.0000000000","62.5000000000","-62.50","","","EUR","","","","Savings plan execution IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 1","17995eeb-c83a-49fa-a35f-d5050f9508a6","","","",""
"2026-01-02T10:58:44.421Z","2026-01-02","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","5.0000000000","8.5860000000","-42.93","","","EUR","","","","Savings plan execution IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 5","c131d4bd-6e7a-415d-b86b-b1fd6178de56","","","",""
"2026-01-02T11:04:19.249Z","2026-01-02","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","6.0000000000","10.8880000000","-65.33","","","EUR","","","","Savings plan execution LU3047998896 BNP PARIBAS EASY - Bloomberg Europe Defense UCITS ETF CAPITALISATION, quantity: 6","1a94da4c-cff1-4e29-8613-04d2ed69f46c","","","",""
"2026-01-02T16:10:39.831Z","2026-01-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.3070490000","162.8400000000","-50.00","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.307049","e4251f80-d355-4324-8f13-a3154f97f224","","","",""
"2026-02-02T10:03:22.220Z","2026-02-02","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","48.0000000000","6.1400000000","-294.72","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 48","92847826-feb0-40ad-a0a3-bb40f98a7054","","","",""
"2026-02-02T10:26:45.758Z","2026-02-02","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","1.0000000000","62.2800000000","-62.28","","","EUR","","","","Savings plan execution IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 1","fed12e87-8acd-466a-900c-70f5b5058047","","","",""
"2026-02-02T11:07:51.837Z","2026-02-02","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","5.0000000000","9.0050000000","-45.03","","","EUR","","","","Savings plan execution IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 5","0e3eef84-2c29-4448-b4b7-069cd2122348","","","",""
"2026-02-02T11:19:58.042Z","2026-02-02","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","6.0000000000","11.7140000000","-70.28","","","EUR","","","","Savings plan execution LU3047998896 BNP PARIBAS EASY - Bloomberg Europe Defense UCITS ETF CAPITALISATION, quantity: 6","a6a82585-008f-4e0e-a7bc-44a8f41dc01c","","","",""
"2026-02-02T17:21:05.499Z","2026-02-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.1252660000","159.6600000000","-20.00","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.125266","caa2abee-2379-41d4-8c56-a7da9edce5c2","","","",""
"2026-02-02T17:24:57.242Z","2026-02-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.0041340000","159.6400000000","-0.66","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.004134","9e5c3d50-578f-44bc-9487-434a340e9fb4","","","",""
"2026-03-02T10:29:36.008Z","2026-03-02","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","1.0000000000","64.9600000000","-64.96","","","EUR","","","","Savings plan execution IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 1","40a4593c-8f21-4156-8918-1cc69d929d83","","","",""
"2026-03-02T11:11:41.303Z","2026-03-02","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","5.0000000000","9.2200000000","-46.10","","","EUR","","","","Savings plan execution IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 5","4a1d73f9-01bc-48ed-b3fd-345027c4a0b5","","","",""
"2026-03-02T10:09:47.273318Z","2026-03-02","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3176111881","","","-5.000000","","","EUR","","","","Private Markets pre-payment for buy order: 8cac2f9d-3243-4a69-8d77-e3c6a7a828b7","019cae06-7f09-7fca-8f47-cf25b8bb664e","","","",""
"2026-03-02T12:49:56.378Z","2026-03-02","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","6.0000000000","12.0040000000","-72.02","","","EUR","","","","Savings plan execution LU3047998896 BNP PARIBAS EASY - Bloomberg Europe Defense UCITS ETF CAPITALISATION, quantity: 6","fcdf31b9-d954-4700-90b9-76ed508a8e0c","","","",""
"2026-03-02T13:05:40.016Z","2026-03-02","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","48.0000000000","6.2040000000","-297.79","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 48","0c3ffb12-7893-41e6-9cb1-19c8596b6fec","","","",""
"2026-03-02T14:15:21.863276Z","2026-03-02","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3170240538","","","-5.000000","","","EUR","","","","Private Markets pre-payment for buy order: e1dcbd0c-afa4-4f63-b593-b728cbf8fde7","019caee7-5407-7244-bdca-25117080fea0","","","",""
"2026-03-02T16:03:13.580Z","2026-03-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.0019450000","154.2201000000","-0.30","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.001945","c6030693-1808-491e-95db-0c6067d40993","","","",""
"2026-03-02T16:10:20.295Z","2026-03-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.1296340000","154.2801000000","-20.00","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.129634","da77b09c-d6db-4d2c-97d9-5b958ef6b24f","","","",""
"2026-04-01T08:59:35.054034Z","2026-04-01","DEFAULT","CASH","DIVIDEND","STOCK","NVIDIA","US67066G1040","1.7764280000","","0.020000","","","EUR","0.02","USD","0.869716","Cash Dividend for ISIN US67066G1040","019d4845-010d-7005-bedd-82d2ba18769b","","","",""
"2026-04-02T08:41:56.470Z","2026-04-02","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","49.0000000000","6.0050000000","-294.25","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 49","4efe405f-3eb9-4cdb-b512-c8fe5b86cfdf","","","",""
"2026-04-02T09:38:58.892Z","2026-04-02","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","1.0000000000","61.0700000000","-61.07","","","EUR","","","","Savings plan execution IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 1","ee7d22eb-f90e-4f11-8765-fd674ddff7e0","","","",""
"2026-04-02T09:41:05.888148Z","2026-04-02","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3176111881","","","-5.000000","","","EUR","","","","Private Markets pre-payment for buy order: 97a1d611-068c-40c9-8408-adfbb4de9ce4","019d4d91-5ee0-71e1-8499-d10eed2534e7","","","",""
"2026-04-02T10:19:08.267Z","2026-04-02","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","5.0000000000","8.6960000000","-43.48","","","EUR","","","","Savings plan execution IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 5","5ffda1dd-a20e-463f-83ed-6c1c8f4d56d6","","","",""
"2026-04-02T10:30:42.803Z","2026-04-02","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","6.0000000000","11.4060000000","-68.44","","","EUR","","","","Savings plan execution LU3047998896 BNP PARIBAS EASY - Bloomberg Europe Defense UCITS ETF CAPITALISATION, quantity: 6","15e07a9e-1012-47bc-a687-171dffb94001","","","",""
"2026-04-02T13:14:14.143247Z","2026-04-02","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3170240538","","","-5.000000","","","EUR","","","","Private Markets pre-payment for buy order: e3d437aa-fafa-4822-89bc-c88f28a6954f","019d4e54-80ff-701a-98e7-15d44d8b2b44","","","",""
"2026-04-02T14:54:53.122Z","2026-04-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.1323270000","151.1400000000","-20.00","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.132327","67c63055-1ebd-43ea-98db-0c112c8a254a","","","",""
"2026-04-02T14:57:56.225Z","2026-04-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.0038370000","151.1400000000","-0.58","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.003837","0a95d195-ece6-41fe-8766-9c12d1e86a3a","","","",""
"2026-05-04T08:16:55.020054Z","2026-05-04","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3170240538","","","-5.000000","","","EUR","","","","Private Markets pre-payment for buy order: f36fb04c-a669-4a7e-8286-2747b22cb2cb","019df20f-ccec-71c1-94f3-ce424cc1eb67","","","",""
"2026-05-04T08:28:26.104064Z","2026-05-04","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3176111881","","","-5.000000","","","EUR","","","","Private Markets pre-payment for buy order: 721ddeed-a40c-4c4c-8316-9fede9095eab","019df21a-5878-7535-94d8-5c1e6a213fee","","","",""
"2026-05-04T08:41:35.072Z","2026-05-04","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","46.0000000000","6.4699000000","-297.62","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 46","a78c7e44-9645-4946-a555-0bcda44978a0","","","",""
"2026-05-04T09:30:00.426Z","2026-05-04","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","1.0000000000","62.4300000000","-62.43","","","EUR","","","","Savings plan execution IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 1","fe908135-d9b1-42b3-aee9-987dc98fff66","","","",""
"2026-05-04T10:04:11.462Z","2026-05-04","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","4.0000000000","10.4340000000","-41.74","","","EUR","","","","Savings plan execution IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 4","b9c9a728-fce9-4f8f-8119-916d43130439","","","",""
"2026-05-04T10:16:33.694Z","2026-05-04","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","7.0000000000","10.7080000000","-74.96","","","EUR","","","","Savings plan execution LU3047998896 BNP PARIBAS EASY - Bloomberg Europe Defense UCITS ETF CAPITALISATION, quantity: 7","79f46d7f-2592-41b8-9ee9-b3b16103ae55","","","",""
"2026-05-04T14:40:35.930Z","2026-05-04","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.0294880000","169.5600000000","-5.00","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.029488","e9202539-ade1-4034-bef8-0e1b288a448b","","","",""
"2026-05-04T14:52:13.587Z","2026-05-04","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.0060150000","169.5600000000","-1.02","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.006015","3060486a-411b-4020-91ec-951533300036","","","",""
"2026-05-08T08:29:30.133Z","2026-05-08","DEFAULT","TRADING","BUY","PRIVATE_FUND","Private Equity","LU3176111881","0.0469690000","106.4523000000","","","","EUR","","","","BUY LU3176111881","5bde2dd3-308d-48b1-a993-98c1a602f4bd","","","",""
"2026-05-13T13:08:49.832Z","2026-05-13","DEFAULT","TRADING","BUY","PRIVATE_FUND","Private Equity","LU3170240538","0.0462550000","108.0954000000","","","","EUR","","","","BUY LU3170240538","f91b5eba-0096-448e-be26-9290e88f800a","","","",""
"2026-06-02T08:18:20.169066Z","2026-06-02","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3170240538","","","-5.000000","","","EUR","","","","Private Markets pre-payment for buy order: 41701e9c-608d-4b0e-a95f-cf043c819d9f","019e8769-8589-7c6f-a1c1-7a66612f8c3f","","","",""
"2026-06-02T08:32:32.888759Z","2026-06-02","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3176111881","","","-5.000000","","","EUR","","","","Private Markets pre-payment for buy order: d9a51d2f-3e67-4791-ab0f-d69af635a570","019e8776-8878-7f83-8a60-46a5485c42c3","","","",""
"2026-06-02T08:44:03.442Z","2026-06-02","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","169.0000000000","6.8010000000","-1149.37","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 169","25b363df-5f46-4639-abb4-e56ae31bf918","","","",""
"2026-06-02T09:02:34.941Z","2026-06-02","DEFAULT","TRADING","BUY","FUND","MSCI Emerging Markets EUR (Acc)","LU1681045370","8.7719290000","7.9800000000","-70.00","","","EUR","","","","Savings plan execution LU1681045370 Amundi Index Solutions - Amundi MSCI Emerging Markets Swap UCITS ETF EUR Acc, quantity: 8.771929","0dde301b-a1a5-49af-8a90-910a3284cccc","","","",""
"2026-06-02T09:26:05.467Z","2026-06-02","PEA","TRADING","BUY","FUND","MSCI France EUR (Acc)","IE00BP3QZJ36","2.0000000000","64.2500000000","-128.50","","","EUR","","","","Savings plan execution IE00BP3QZJ36 iShares IV plc - iShares MSCI France UCITS ETF EUR (Acc), quantity: 2","4a546529-5f92-483b-ba0f-c621dbcb8262","","","",""
"2026-06-02T10:06:05.976Z","2026-06-02","PEA","TRADING","BUY","FUND","MSCI Europe Information Tech EUR (Acc)","IE00BMW42413","7.0000000000","12.8380000000","-89.87","","","EUR","","","","Savings plan execution IE00BMW42413 iShares VI plc - iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), quantity: 7","7083f436-f613-4e6b-b7b7-d9e2eb091fb2","","","",""
"2026-06-02T10:18:40.511Z","2026-06-02","PEA","TRADING","BUY","FUND","Easy Bloomberg Europe Defense EUR (Acc)","LU3047998896","9.0000000000","10.7020000000","-96.32","","","EUR","","","","Savings plan execution LU3047998896 BNP PARIBAS EASY - Bloomberg Europe Defense UCITS ETF CAPITALISATION, quantity: 9","b0e3da28-5a8b-42cc-aa8f-26d192bc24f1","","","",""
"2026-06-02T14:28:49.254Z","2026-06-02","DEFAULT","TRADING","BUY","FUND","S&P 500 EUR (Acc)","FR0011550185","2.1194130000","33.0280000000","-70.00","","","EUR","","","","Savings plan execution FR0011550185 BNP PARIBAS EASY FR - BNP PARIBAS EASY S&P 500 UCITS ETF EUR C CAPITALISATION, quantity: 2.119413","9c327595-2255-4da9-98a3-885a79cdbb0e","","","",""
"2026-06-02T15:02:43.096Z","2026-06-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.0034390000","197.7000000000","-0.68","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.003439","bd3e328f-f21e-4a93-a32b-1d133968ab86","","","",""
"2026-06-02T15:05:25.145Z","2026-06-02","DEFAULT","TRADING","BUY","STOCK","NVIDIA","US67066G1040","0.0506380000","197.4800000000","-10.00","","","EUR","","","","Savings plan execution US67066G1040 NVIDIA CORP.      DL-,001, quantity: 0.050638","b7d0470a-e00e-4224-96a3-01031cf14e35","","","",""
"2026-06-08T14:22:13.361081Z","2026-06-08","DEFAULT","CASH","IPO_SUBSCRIPTION","STOCK","SpaceX","US84615Q1031","","","-150.000000","-1.00","","EUR","","","","IPO access pre-payment for subscription: 82f420e9-ff87-4272-b50c-5ec65061dadb","019ea79c-d371-72bc-9e12-350acb3a7c60","","","",""
"2026-06-08T15:29:04.581Z","2026-06-08","DEFAULT","TRADING","BUY","PRIVATE_FUND","Private Equity","LU3176111881","0.0472920000","105.7252000000","","","","EUR","","","","BUY LU3176111881","886c8a50-cf8c-4c2a-a460-11ebed6073cd","","","",""
"2026-06-11T16:07:15.146Z","2026-06-11","DEFAULT","TRADING","BUY","PRIVATE_FUND","Private Equity","LU3170240538","0.0470280000","106.3189000000","","","","EUR","","","","BUY LU3170240538","7c6d6043-6d81-4d1f-a857-e07510743b5b","","","",""
"2026-06-12T12:46:14.774Z","2026-06-12","DEFAULT","TRADING","BUY","STOCK","SpaceX","US84615Q1031","0.1661340000","116.7628060000","","","","EUR","","","","BUY US84615Q1031","950fb9e4-73f7-4451-ada8-01033a82e7f9","","","",""
"2026-06-12T12:46:15.615356Z","2026-06-12","DEFAULT","CASH","IPO_SUBSCRIPTION","STOCK","SpaceX","US84615Q1031","","","130.600000","","","EUR","","","","(partial reimbursement) IPO access pre-payment for subscription: 82f420e9-ff87-4272-b50c-5ec65061dadb","019ebbde-683f-7f01-b20d-060bdac71ead","","","",""
"2026-06-26T09:22:37.542457Z","2026-06-26","DEFAULT","CASH","DIVIDEND","STOCK","NVIDIA","US67066G1040","2.0021720000","","0.440000","","-0.21","EUR","0.50","USD","0.881679","Cash Dividend for ISIN US67066G1040","019f033d-0166-73ea-9155-44bf292480d5","","","",""
"2026-07-01T15:33:51.553Z","2026-07-01","DEFAULT","TRADING","BUY","PRIVATE_FUND","Private Equity","LU3176111881","0.0471990000","105.9347000000","","","","EUR","","","","BUY LU3176111881","2898353d-b58a-47a0-9c7c-4b42b97696e9","","","",""
"2026-07-02T08:12:35.187261Z","2026-07-02","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3170240538","","","-15.000000","","","EUR","","","","Private Markets pre-payment for buy order: 20e6fca0-27a3-4813-b93e-6fe3af67cc88","019f21e3-09f3-7bb7-8c8d-7df7345c0961","","","",""
"2026-07-02T08:23:26.332975Z","2026-07-02","DEFAULT","CASH","PRIVATE_MARKET_BUY","PRIVATE_FUND","Private Equity","LU3176111881","","","-15.000000","","","EUR","","","","Private Markets pre-payment for buy order: 7a3ffd6a-9a52-4ab7-8019-e0803fd0cb92","019f21ec-f97c-7248-be32-4fe6a180284d","","","",""
"2026-07-02T08:37:26.689Z","2026-07-02","PEA","TRADING","BUY","FUND","MSCI World Swap PEA EUR (Acc)","IE0002XZSHO1","167.0000000000","6.8700000000","-1147.29","","","EUR","","","","Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 167","a40d4e7e-6468-47ce-90d0-2360913d3cd5","","","",""
