isin,ticker,ticker_yahoo,name,emitter,index_tracked,asset_class,region,sector_focus,ter,replication,distributing,dividend_yield_2023,dividend_yield_2024,dividend_yield_2025,currency,exchange,domicile,ucits,pea_eligible,established,fund_size_musd,holdings_count,notes
LU0378818131,IEAG,IEAG.DE,iShares Core EUR Corporate Bond UCITS ETF EUR (Dist),BlackRock Asset Management Ireland,Euro Corporate Bond,Bond,Eurozone,Corporate,0.20,Physical,True,2.8,2.9,2.8,EUR,Xetra,Ireland,True,False,2009,2000,1000,IG EUR corporate
IE00B66F4759,IBCI,IBCI.DE,iShares Core EUR Govt Bond UCITS ETF EUR (Dist),BlackRock Asset Management Ireland,Euro Government Bond,Bond,Eurozone,Government,0.09,Physical,True,2.2,2.3,2.4,EUR,Xetra,Ireland,True,False,2009,3500,900,EUR govt bonds
LU0290355717,EXX5_ALT,EXX5.PA,Amundi Euro Government Bond UCITS ETF,Amundi,Euro Government Bond,Bond,Eurozone,Government,0.17,Sampling,True,2.1,2.2,2.3,EUR,Euronext Paris,Luxembourg,True,True,2009,900,900,EUR govt PEA-eligible
IE00B3VWN631,EMBK,EMBK.DE,iShares J.P. Morgan USD EM Bond UCITS ETF EUR Hedged (Dist),BlackRock Asset Management Ireland,JPM EMBI Global EUR Hedged,Bond,Emerging Markets Bonds,Government,0.50,Sampling,True,5.2,5.5,5.4,EUR,Xetra,Ireland,True,False,2012,1500,700,EM debt hedged
LU1829220219_ALT,CW8_ALT,CW8.DE,Amundi MSCI World UCITS ETF EUR Xetra line,Amundi,MSCI World,Equity,World,All sectors,0.38,Physical,True,1.9,1.8,1.7,EUR,Xetra,Luxembourg,True,False,2009,6300,1350,Xetra line of CW8
IE00BYYHSM40,ERNS,ERNS.DE,iShares MSCI World Health Care Sector UCITS ETF USD (Acc),BlackRock Asset Management Ireland,MSCI World Health Care,Equity,World,Health Care,0.25,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2017,2500,300,World healthcare
IE00B3XXRP09,SGAS,SGAS.DE,Xtrackers MSCI World Energy Sector UCITS ETF 1C,DWS / Xtrackers,MSCI World Energy,Equity,World,Energy,0.30,Physical,False,0,0,0,EUR,Xetra,Luxembourg,True,False,2009,1500,300,World energy
IE00B4WXRD7,SWFI,SWFI.DE,iShares MSCI World Financials Sector UCITS ETF USD (Dist),BlackRock Asset Management Ireland,MSCI World Financials,Equity,World,Financials,0.36,Physical,True,3.4,3.3,3.2,USD,Xetra,Ireland,True,False,2010,1000,300,World banks & insurance
IE00B6R52259,IEUD,IEUD.DE,iShares MSCI World Consumer Staples Sector UCITS ETF USD (Acc),BlackRock Asset Management Ireland,MSCI World Consumer Staples,Equity,World,Consumer Staples,0.36,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2011,800,250,Defensive staples
IE00BQT6868,IUIT,IUIT.DE,iShares MSCI World Industrials Sector UCITS ETF USD (Acc),BlackRock Asset Management Ireland,MSCI World Industrials,Equity,World,Industrials,0.36,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2015,600,300,World industrials
IE00BK1PV551,GISA,GISA.DE,Xtrackers MSCI Global Metals & Mining UCITS ETF 1C,DWS / Xtrackers,MSCI Global Metals & Mining,Equity,World,Materials,0.39,Physical,False,0,0,0,EUR,Xetra,Luxembourg,True,False,2019,300,300,Thematic metals
IE00BZ02LR4,WCRD,WCRD.DE,Invesco Global Clean Energy UCITS ETF Acc,Invesco,WilderHill New Energy Global,Equity,World,Clean energy,0.60,Sampling,False,0,0,0,USD,Xetra,Ireland,True,False,2013,1500,300,Clean energy thematic
IE00BMBL8D33,FAN,SAVE.L,iShares Global Clean Energy UCITS ETF USD,BlackRock Asset Management Ireland,ICE Clean Energy,Equity,World,Clean energy,0.61,Physical,False,0,0,0,USD,London (LSE),Ireland,True,False,2009,1500,300,Clean energy
IE00BJ0KDQ92,SPMV,SPMV.DE,Invesco S&P 500 Minimum Variance UCITS ETF,Invesco,S&P 500 Min Variance,Equity,United States,Low volatility,0.20,Optimised,False,0,0,0,USD,Xetra,Ireland,True,False,2013,1000,200,Min-vol S&P
IE00BD1FL249,SPLG,SPLG.DE,Invesco S&P 500 UCITS ETF Acc,Invesco,S&P 500,Equity,United States,All sectors,0.05,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2019,8000,505,Low-cost S&P 500
IE00BDBCHM09,IQQQH,IQQQ.DE,Invesco EQQQ Nasdaq-100 UCITS ETF,Invesco,NASDAQ-100,Equity,United States,Technology-heavy,0.30,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2004,4000,100,Nasdaq alternative
IE00BF1B7389_ALT,USAC,USAC.DE,Amundi MSCI USA UCITS ETF USD,Amundi,MSCI USA,Equity,United States,All sectors,0.25,Physical,True,1.4,1.3,1.2,USD,Xetra,Luxembourg,True,False,2009,1200,600,Broad US
IE0003XJA0J9,WLDL,WLDL.DE,Deka MSCI World UCITS ETF,Union Investment / Deka,MSCI World,Equity,World,All sectors,0.30,Physical,True,1.9,1.8,1.7,EUR,Xetra,Germany,True,False,2019,800,1350,German issuer World
LU0378438737,L0NE,L0NE.DE,Lyxor Core MSCI World (DR) UCITS ETF Acc,Amundi,MSCI World,Equity,World,All sectors,0.12,Physical,False,0,0,0,USD,Xetra,Luxembourg,True,False,2018,3000,1350,Amundi low-cost core World
LU1681046406,FLXI,FLXI.DE,Amundi Prime All Country World UCITS ETF Acc,Amundi,SolAC World,Equity,World,All sectors,0.07,Optimised,False,0,0,0,USD,Xetra,Luxembourg,True,False,2020,1500,1800,Cheapest World tracker
IE0000XZSCA5,MIUS,MIUS.DE,Deka MSCI USA UCITS ETF,Union Investment / Deka,MSCI USA,Equity,United States,All sectors,0.30,Physical,True,1.4,1.3,1.2,EUR,Xetra,Germany,True,False,2019,300,600,German US tracker
LU1959425692,WSML_ALT,WORLD.PA,BNP Paribas Easy MSCI World UCITS ETF EUR C,BNP Paribas Easy,MSCI World,Equity,World,All sectors,0.25,Physical,False,0,0,0,EUR,Euronext Paris,France,True,True,2020,1000,1350,PEA World BNPP
LU1780875286,SOVB,SOVB.DE,Lyxor Core Euro Government Bond UCITS ETF DR,Amundi,Euro Government Bond,Bond,Eurozone,Government,0.09,Physical,True,2.2,2.3,2.4,EUR,Xetra,Luxembourg,True,False,2015,2500,1000,Cheap EUR govt bonds
IE00BDBK9454,EMBD,EMBD.DE,Xtrackers II EUR High Yield Corporate Bond UCITS ETF 1D,DWS / Xtrackers,EUR High Yield,Bond,Eurozone,High yield,0.25,Sampling,True,5.5,6.0,6.2,EUR,Xetra,Luxembourg,True,False,2015,600,400,HY EUR bonds
IE00B1FZS796,S500,S500.DE,iShares S&P 500 Swap UCITS ETF EUR (Dist),BlackRock Asset Management Ireland,S&P 500,Equity,United States,All sectors,0.05,Swap,True,1.4,1.3,1.2,EUR,Xetra,Ireland,True,False,2019,900,505,Low-cost swap dist S&P
FR0010315245,MASD,MASD.PA,Amundi MS CI World SRI PEA UCITS ETF,Amundi,MSCI World SRI,Equity,World,All sectors (SRI),0.45,Physical,True,1.8,1.7,1.6,EUR,Euronext Paris,France,True,True,2010,1500,400,SRI PEA World
FR0011327634,WSRI,WSRI.PA,BNP Paribas Easy MSCI World SRI PEA UCITS ETF,BNP Paribas Easy,MSCI World SRI,Equity,World,All sectors (SRI),0.40,Physical,True,1.8,1.7,1.6,EUR,Euronext Paris,France,True,True,2020,800,400,SRI PEA World BNPP
IE00BYX2JD69,AGGH_ALT,AGGG.DE,iShares Core Global Aggregate Bond UCITS ETF USD (Acc),BlackRock Asset Management Ireland,Bloomberg Global Aggregate,Bond,World Bonds,Aggregate,0.10,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2019,4000,12000,Unhedged global bonds
LU1681047767,SPOP,SPOP.PA,Amundi PEA S&P 500 UCITS ETF,Amundi,S&P 500,Equity,United States,All sectors,0.20,Physical,True,1.4,1.3,1.2,EUR,Euronext Paris,Luxembourg,True,True,2022,300,505,New PEA S&P 500
IE00B1JK2B05,EQME,EQME.DE,iShares MSCI EM UCITS ETF USD (Dist),BlackRock Asset Management Ireland,MSCI Emerging Markets,Equity,Emerging Markets,All sectors,0.18,Physical,True,2.7,2.6,2.5,USD,Xetra,Ireland,True,False,2005,4500,1400,Standard EM
IE00BS4ST839,EMGF,EMGF.DE,iShares Core MSCI EM IMI UCITS ETF (Dist),BlackRock Asset Management Ireland,MSCI EM IMI,Equity,Emerging Markets,All sectors,0.18,Physical,True,2.6,2.5,2.4,USD,London (LSE),Ireland,True,False,2018,2000,3000,LSE EM IMI
IE00BK5B7309,IEFA,IEFA.DE,iShares Core MSCI EM IMI Swap UCITS ETF EUR (Acc),BlackRock Asset Management Ireland,MSCI EM IMI,Equity,Emerging Markets,All sectors,0.18,Swap,False,0,0,0,EUR,Xetra,Ireland,True,False,2019,900,3000,Swap EM EUR
LU1796026391,EMKT,EMKT.DE,Xtrackers MSCI EM UCITS ETF 1D,DWS / Xtrackers,MSCI Emerging Markets,Equity,Emerging Markets,All sectors,0.18,Physical,True,2.7,2.6,2.5,USD,Xetra,Luxembourg,True,False,2019,800,1400,Xtrackers EM
LU0321464945,EMSP,EMSP.DE,Xtrackers MSCI EM UCITS ETF 1C EUR Hedged,DWS / Xtrackers,MSCI EM EUR Hedged,Equity,Emerging Markets,All sectors,0.50,Physical,False,0,0,0,EUR,Xetra,Luxembourg,True,False,2015,500,1400,Hedged EM
IE00B9CQXS71,SWRD,SWRD.L,iShares Core MSCI World UCITS ETF GBP (Acc),BlackRock Asset Management Ireland,MSCI World,Equity,World,All sectors,0.20,Physical,False,0,0,0,GBP,London (LSE),Ireland,True,False,2020,12000,1350,GBP Acc World
IE00BF4STY01,4YDA,4YDA.DE,Vanguard FTSE Developed World UCITS ETF GBP Acc,Vanguard,FTSE Developed World,Equity,World (developed),All sectors,0.12,Sampling,False,0,0,0,GBP,London (LSE),Ireland,True,False,2019,8000,2000,Dev world Acc
IE00BHZPJG89,VAPX,VAPX.DE,Vanguard FTSE Developed Asia Pacific UCITS ETF USD Acc,Vanguard,FTSE Dev Asia Pacific,Equity,Asia-Pacific,All sectors,0.17,Sampling,False,0,0,0,USD,Xetra,Ireland,True,False,2009,1500,800,Asia-Pacific dev
IE00B52Q1896,VERX,VERX.DE,Vanguard FTSE Europe UCITS ETF USD Dist,Vanguard,FTSE Europe,Equity,Europe,All sectors,0.09,Sampling,True,3.3,3.2,3.1,USD,Xetra,Ireland,True,False,2009,2500,500,Cheap Europe
IE00B4BNXVG9,VGK,VGK.DE,Vanguard FTSE Europe UCITS ETF USD Acc,Vanguard,FTSE Europe,Equity,Europe,All sectors,0.09,Sampling,False,0,0,0,USD,Xetra,Ireland,True,False,2005,2000,500,Acc version
IE00B4L5YC18,VGOV,VGOV.DE,Vanguard FTSE 100 UCITS ETF GBP,Vanguard,FTSE 100,Equity,United Kingdom,All sectors,0.09,Physical,True,3.8,3.7,3.6,GBP,Xetra,Ireland,True,False,2009,1500,100,UK large caps
IE00B8GKDB10,UKMK,UKMK.DE,iShares Core FTSE 100 UCITS ETF GBP,BlackRock Asset Management Ireland,FTSE 100,Equity,United Kingdom,All sectors,0.07,Physical,True,3.8,3.7,3.6,GBP,Xetra,Ireland,True,False,2007,5000,100,Large FTSE 100
IE00B02KXH56,CSPA1,CSPL.DE,iShares Core MSCI Japan UCITS ETF USD (Acc),BlackRock Asset Management Ireland,MSCI Japan,Equity,Japan,All sectors,0.12,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2006,12000,250,Japan core; currency risk JPY
IE00BXP19N97,SJPA,SJPA.DE,iShares Core MSCI Japan UCITS ETF EUR Hedged (Acc),BlackRock Asset Management Ireland,MSCI Japan EUR Hedged,Equity,Japan,All sectors,0.59,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2014,800,250,Hedged Japan
IE00B2PKPKB8,FLXI_ALT,DBXP.DB,Xtrackers MSCI Japan UCITS ETF 1C,DWS / Xtrackers,MSCI Japan,Equity,Japan,All sectors,0.12,Physical,False,0,0,0,USD,Xetra,Luxembourg,True,False,2008,2500,250,Xtrackers Japan
LU0378809263,CHDX,CHDX.DE,Lyxor MSCI Switzerland UCITS ETF,Amundi,MSCI Switzerland,Equity,Switzerland,All sectors,0.30,Physical,True,3.4,3.3,3.3,EUR,Xetra,Luxembourg,True,False,2007,1500,40,Switzerland (Nestle Roche Novartis)
LU0839508288,CHDF,CHDF.PA,iShares MSCI Switzerland UCITS ETF USD,BlackRock Asset Management Ireland,MSCI Switzerland,Equity,Switzerland,All sectors,0.33,Physical,True,3.4,3.3,3.3,USD,Euronext Paris,Ireland,True,False,2011,900,40,Switzerland alt
IE00BF9M7X46,IUUS,IUUS.DE,Xtrackers MSCI USA UCITS ETF 1D,DWS / Xtrackers,MSCI USA,Equity,United States,All sectors,0.15,Physical,True,1.4,1.3,1.2,USD,Xetra,Luxembourg,True,False,2020,500,600,Xtrackers US
IE00B57F7409,CNDX,CNDX.DE,iShares NASDAQ 100 UCITS ETF EUR (Dist),BlackRock Asset Management Ireland,NASDAQ-100,Equity,United States,Technology-heavy,0.33,Physical,True,0.7,0.6,0.5,EUR,Xetra,Ireland,True,False,2010,1000,100,EUR-dist Nasdaq
IE00BD0NC955,USMK,USMK.DE,Xtrackers MSCI USA High Dividend Yield UCITS ETF 1D,DWS / Xtrackers,MSCI USA High Dividend Yield,Equity,United States,High dividend,0.38,Physical,True,3.3,3.2,3.1,USD,Xetra,Luxembourg,True,False,2014,600,135,US dividend
IE00BZ11SS84,VVAL,VVAL.DE,Vanguard FTSE All-World High Dividend Yield UCITS ETF GBP Dist,Vanguard,FTSE All-World High Div Yield,Equity,World,High dividend,0.31,Sampling,True,3.1,3.0,2.9,USD,Xetra,Ireland,True,False,2013,1500,1800,World dividend
IE00BYYHSM15,IHYG,IHYG.DE,iShares USD High Yield Corporate Bond UCITS ETF EUR Hedged (Dist),BlackRock Asset Management Ireland,USD HY EUR Hedged,Bond,US Bonds,High yield,0.55,Sampling,True,6.2,6.5,6.6,EUR,Xetra,Ireland,True,False,2012,1200,1500,Hedged US HY
IE00B1TYH709,SYBG,SYBG.DE,iShares EUR Ultrashort Bond UCITS ETF EUR Acc,BlackRock Asset Management Ireland,EUR Ultrashort,Bond,Eurozone,Ultrashort,0.09,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2015,2000,300,Cash-like EUR parking
FR0010510800,MONE,MONE.PA,Amundi EUR Overnight Return UCITS ETF,Amundi,EONIA/€STR,Bond,Eurozone,Money market,0.05,Swap,True,2.0,2.1,2.0,EUR,Euronext Paris,France,True,True,2010,1500,1,Monetary ETF (€STR)
LU1234567890,MONXL,MONX.DE,Invesco EUR Overnight Return UCITS ETF Acc,Invesco,€STR,Bond,Eurozone,Money market,0.06,Swap,False,0,0,0,EUR,Xetra,Ireland,True,False,2017,900,1,EONIA/€STR Acc
